ip,country,country_code,city,region_name,lat,lon,isp,org,as_raw,asname,hosting,proxy,mobile
14.202.202.92,Australia,AU,Sydney,New South Wales,-33.9158,151.0348,TPG Internet Pty Ltd,TPG Internet Pty Ltd,AS7545 TPG Telecom Limited,TPG-INTERNET-AP,f,f,f
58.111.97.208,Australia,AU,Sydney,New South Wales,-33.7266,150.8074,SingTel Optus Pty Ltd,Optus Internet Pty Ltd,AS4804 Microplex PTY LTD,MPX-AS,f,f,f
154.42.3.133,Belgium,BE,Antwerp,Flanders,51.2192,4.3917,Cogent Communications,Syntax Bvba,"AS174 Cogent Communications, LLC",COGENT-174,f,f,f
154.42.3.140,Belgium,BE,Antwerp,Flanders,51.2192,4.3917,Cogent Communications,Syntax Bvba,"AS174 Cogent Communications, LLC",COGENT-174,f,f,f
209.121.206.37,Canada,CA,Maple Ridge,British Columbia,49.222,-122.6181,TELUS Communications Inc,Kernelogic Software Inc,AS852 TELUS Communications Inc.,ASN852,f,f,f
148.113.193.139,Canada,CA,Montreal,Quebec,45.5029,-73.5723,OVH SAS,"OVH Hosting, Inc",AS16276 OVH SAS,OVH,t,f,f
15.235.86.6,Canada,CA,Montreal,Quebec,45.5029,-73.5723,OVH SAS,"OVH Hosting, Inc",AS16276 OVH SAS,OVH,t,f,f
15.235.86.73,Canada,CA,Montreal,Quebec,45.5029,-73.5723,OVH SAS,"OVH Hosting, Inc",AS16276 OVH SAS,OVH,t,f,f
38.140.46.58,Canada,CA,Montreal,Quebec,45.5075,-73.5887,Cogent Communications,VexxHost Web Hosting,"AS174 Cogent Communications, LLC",COGENT-174,f,f,f
38.80.81.243,Canada,CA,Montreal,Quebec,45.5075,-73.5887,Cogent Communications,Nebula Portal Inc,"AS174 Cogent Communications, LLC",COGENT-174,f,f,f
103.90.153.243,China,CN,Beijing,Beijing,39.9042,116.407,Cloud Computing Corporation,"Guangdong Guangshu Network Technology Co., Ltd",AS58519 Cloud Computing Corporation,CHINATELECOM-Ctcloud,t,f,f
103.90.153.245,China,CN,Beijing,Beijing,39.9042,116.407,Cloud Computing Corporation,"Guangdong Guangshu Network Technology Co., Ltd",AS58519 Cloud Computing Corporation,CHINATELECOM-Ctcloud,t,f,f
121.46.232.238,China,CN,Beijing,Beijing,39.9042,116.407,ZHAOONE,shanghai wexchange network technology Co. Ltd.,AS4811 China Telecom (Group),CHINANET-SHANGHAI-MAN,f,f,f
42.123.105.130,China,CN,Beijing,Beijing,39.9042,116.407,Cloud Computing Corporation,Cloud Computing Branch Corporation,AS58519 Cloud Computing Corporation,CHINATELECOM-Ctcloud,t,f,f
101.207.144.150,China,CN,Chengdu,Sichuan,30.6667,104.0667,China Unicom Sichuan Province Network,"",AS4837 CHINA UNICOM China169 Backbone,CHINA169-Backbone,f,f,f
175.155.245.4,China,CN,Chengdu,Sichuan,30.5723,104.067,China Unicom Sichuan Province Network,"",AS4837 CHINA UNICOM China169 Backbone,CHINA169-Backbone,f,f,f
183.220.37.235,China,CN,Chengdu,Sichuan,30.6667,104.0667,China Mobile,China Mobile Communications Corporation,"AS9808 China Mobile Communications Group Co., Ltd.",CHINAMOBILE-CN,f,f,t
183.220.37.236,China,CN,Chengdu,Sichuan,30.6667,104.0667,China Mobile,China Mobile Communications Corporation,"AS9808 China Mobile Communications Group Co., Ltd.",CHINAMOBILE-CN,f,f,t
125.64.33.5,China,CN,Deyang,Sichuan,31.1268,104.398,China Telecom,"",AS139220 Sichuan Chuanxn IDC,CHINANET-Sichuan-Chuanxi-IDC,f,f,f
125.64.78.30,China,CN,Deyang,Sichuan,31.1268,104.398,Chinanet,Chinanet SC,AS4134 CHINANET-BACKBONE,CHINANET-BACKBONE,f,f,f
222.213.119.135,China,CN,Deyang,Sichuan,31.1268,104.398,Chinanet,Chinanet SC,AS4134 CHINANET-BACKBONE,CHINANET-BACKBONE,f,f,f
58.22.103.100,China,CN,Fuzhou,Fujian,26.0614,119.3061,CNCGroup CHINA169 FuJian province network,"",AS4837 CHINA UNICOM China169 Backbone,CHINA169-Backbone,f,f,f
183.61.189.187,China,CN,Gangxia,Guangdong,22.5403,114.061,Chinanet,Chinanet GD,AS4134 CHINANET-BACKBONE,CHINANET-BACKBONE,f,f,f
111.48.247.130,China,CN,Guangzhou,Guangdong,23.1181,113.2539,China Mobile communications corporation,China Mobile,"AS9808 China Mobile Communications Group Co., Ltd.",CHINAMOBILE-CN,f,f,t
111.48.247.131,China,CN,Guangzhou,Guangdong,23.1181,113.2539,China Mobile communications corporation,China Mobile,"AS9808 China Mobile Communications Group Co., Ltd.",CHINAMOBILE-CN,f,f,t
14.17.101.101,China,CN,Guangzhou,Guangdong,23.1317,113.266,Chinanet,Chinanet GD,AS4134 CHINANET-BACKBONE,CHINANET-BACKBONE,f,f,f
